group,accuracy_slope_per_1k,mean_accuracy,latest_accuracy
g0,0.0011001270983901595,0.5893215184188008,0.5665322542190552
g1,0.0004300397520881298,0.6576442166940489,0.6401209235191345
g2,0.000283038427686346,0.6425784191681971,0.6300402879714966
g3,0.0006039743341017779,0.4380065273882738,0.4072580635547638
g4,0.0009329845123317794,0.2929605918737193,0.248991921544075
g5,0.0008927334618036408,0.24773811626790174,0.23185482621192932
g6,0.0016808920972752786,0.31707891065682936,0.2973790168762207
g7,0.00039747563566893096,0.5855149499219449,0.5826612710952759
g8,0.0007176375290448018,0.7299490224069624,0.7046370506286621
g9,0.000746328138047313,0.6933928911958761,0.6754031777381897
g10,0.00074874115110025,0.4306240846861654,0.4364919364452362
g11,-0.00039255969612817226,0.5621940535099352,0.5524193644523621
g12,0.0007253835586883547,0.3022989797503201,0.28729838132858276
g13,0.0006868603439332461,0.19793672133144455,0.20161288976669312
g14,0.0002763352454703971,0.7852722032746272,0.7651209235191345
g15,0.0007782375916466505,0.7147879351430865,0.6864919066429138
