step,series,mse_x1e3
2000,当前重启 E256,2.8656227835293473
4000,当前重启 E256,2.019437736478345
6000,当前重启 E256,2.499558545392135
8000,当前重启 E256,1.240593349111491
10000,当前重启 E256,1.2999712650118203
12000,当前重启 E256,1.38728230677802
14000,当前重启 E256,0.7544248525438638
16000,当前重启 E256,0.949423695946562
18000,当前重启 E256,1.0972202851854522
20000,当前重启 E256,1.0105699043849419
22000,当前重启 E256,0.9544179614247946
24000,当前重启 E256,0.9252452130975394
26000,当前重启 E256,0.9611211717128754
28000,当前重启 E256,0.7508605847070957
30000,当前重启 E256,0.6215982781401995
32000,当前重启 E256,0.614109545432288
34000,当前重启 E256,0.44403655518745555
36000,当前重启 E256,1.0083389051001646
38000,当前重启 E256,0.7522420893455374
40000,当前重启 E256,0.9841644044580131
42000,当前重启 E256,0.7011068920636999
44000,当前重启 E256,0.5378282532609742
46000,当前重启 E256,0.4435836112704771
48000,当前重启 E256,0.44192518268165915
50000,当前重启 E256,0.5680438901843695
52000,当前重启 E256,0.806056733789115
54000,当前重启 E256,0.1131585349553618
56000,当前重启 E256,0.3259212164015605
58000,当前重启 E256,0.44009449153110897
60000,当前重启 E256,0.32118280771477464
62000,当前重启 E256,0.3227149296937318
64000,当前重启 E256,0.5326973081662737
66000,当前重启 E256,0.31976295827791607
68000,当前重启 E256,0.43783886036996184
70000,当前重启 E256,0.5335910888067606
72000,当前重启 E256,0.682578582702012
74000,当前重启 E256,0.534838675681887
76000,当前重启 E256,0.11106431163076698
78000,当前重启 E256,0.10342032905539562
80000,当前重启 E256,0.10428222795498783
82000,当前重启 E256,0.32056328551522617
84000,当前重启 E256,0.6123139555084294
86000,当前重启 E256,0.10186382408799796
88000,当前重启 E256,0.32123878341296624
90000,当前重启 E256,0.10717944402633042
92000,当前重启 E256,0.3214581259365739
94000,当前重启 E256,0.31781774656525974
2000,首次 E256（止于 30k）,2.50701811806909
4000,首次 E256（止于 30k）,1.586778667466394
6000,首次 E256（止于 30k）,2.297588206570724
8000,首次 E256（止于 30k）,1.3478301979344465
10000,首次 E256（止于 30k）,1.5594907875718742
12000,首次 E256（止于 30k）,1.2245630395823512
14000,首次 E256（止于 30k）,1.0118209596337944
16000,首次 E256（止于 30k）,1.0005008300830578
18000,首次 E256（止于 30k）,0.9662277097332066
20000,首次 E256（止于 30k）,1.1379884491706718
22000,首次 E256（止于 30k）,0.7565943845387163
24000,首次 E256（止于 30k）,0.7772604966985768
26000,首次 E256（止于 30k）,1.0027345912209873
28000,首次 E256（止于 30k）,0.5382398978389542
30000,首次 E256（止于 30k）,0.872299139355791
2000,40.33% 基线 E128,2.710438237108033
4000,40.33% 基线 E128,1.4347048669025817
6000,40.33% 基线 E128,1.3073337232244424
8000,40.33% 基线 E128,1.1058308441063454
10000,40.33% 基线 E128,1.5107764509217494
12000,40.33% 基线 E128,1.2751068791438793
14000,40.33% 基线 E128,0.5106307437707638
16000,40.33% 基线 E128,1.199099781184361
18000,40.33% 基线 E128,0.9814778920905344
20000,40.33% 基线 E128,1.2627353185209735
22000,40.33% 基线 E128,0.7960205448084865
24000,40.33% 基线 E128,1.2554825636847264
26000,40.33% 基线 E128,1.0123721099105374
28000,40.33% 基线 E128,0.5825576854163204
30000,40.33% 基线 E128,0.7578804446705457
32000,40.33% 基线 E128,0.8019223038492532
34000,40.33% 基线 E128,0.49475092312385294
36000,40.33% 基线 E128,0.8817389607429504
38000,40.33% 基线 E128,0.6313063846579913
40000,40.33% 基线 E128,0.7652664107495342
42000,40.33% 基线 E128,0.8958792635079088
44000,40.33% 基线 E128,0.4904865576275464
46000,40.33% 基线 E128,0.379617871909306
48000,40.33% 基线 E128,0.45701941667959606
50000,40.33% 基线 E128,0.3664844573057931
52000,40.33% 基线 E128,0.5486907501672876
54000,40.33% 基线 E128,0.15587973055140725
56000,40.33% 基线 E128,0.35115909473649387
58000,40.33% 基线 E128,0.35392785252168263
60000,40.33% 基线 E128,0.6563114323492708
62000,40.33% 基线 E128,0.33944324943526033
64000,40.33% 基线 E128,0.41454751044511795
66000,40.33% 基线 E128,0.2418560586098967
68000,40.33% 基线 E128,0.360238847547564
70000,40.33% 基线 E128,0.8930258838267162
72000,40.33% 基线 E128,0.5399007992497805
74000,40.33% 基线 E128,0.47051591862892284
76000,40.33% 基线 E128,0.3625321491011258
78000,40.33% 基线 E128,0.39829602786179247
80000,40.33% 基线 E128,0.3339530065141875
82000,40.33% 基线 E128,0.4602448757866333
84000,40.33% 基线 E128,0.4599914275880517
86000,40.33% 基线 E128,0.16685904421169181
88000,40.33% 基线 E128,0.17064628351865144
90000,40.33% 基线 E128,0.16908565985745397
92000,40.33% 基线 E128,0.2162986081735841
94000,40.33% 基线 E128,0.34469131637236167
96000,40.33% 基线 E128,0.15905035402754256
98000,40.33% 基线 E128,0.34961634283435755
100000,40.33% 基线 E128,0.32533120749325584
