step,series,action_loss,token_accuracy
250,当前重启 E256,5.293834972381592,0.03637852722313255
500,当前重启 E256,4.56822636127472,0.07280745756579562
750,当前重启 E256,3.556439984928478,0.16350118748166345
1000,当前重启 E256,2.961488441987471,0.24172355641018262
1250,当前重启 E256,2.6263392838564785,0.2656937268647281
1500,当前重启 E256,2.51657358082858,0.2765075049617074
1750,当前重启 E256,2.4482279257340864,0.2874759327281605
2000,当前重启 E256,2.389849836176092,0.29473857988010754
2250,当前重启 E256,2.346559849652377,0.3018408553166823
2500,当前重启 E256,2.3036106499758633,0.30995119430802087
2750,当前重启 E256,2.2754691297357734,0.3158506615595384
3000,当前重启 E256,2.231346368789673,0.3261088593439622
3250,当前重启 E256,2.2114561687816274,0.33090862089937384
3500,当前重启 E256,2.1894276358864526,0.33525017174807464
3750,当前重启 E256,2.142875454642556,0.34483250975608826
4000,当前重启 E256,2.1241113272580234,0.3478624333034862
4250,当前重启 E256,2.107111605730924,0.35036541657014325
4500,当前重启 E256,2.0840884988958184,0.35566920854828576
4750,当前重启 E256,2.071096181869507,0.3591115149584683
5000,当前重启 E256,2.0521426634355024,0.3633556934920224
5250,当前重启 E256,2.016716566952792,0.37066416306929156
5500,当前重启 E256,2.007626316764138,0.3740320151502436
5750,当前重启 E256,1.9967310428619385,0.37874013727361505
6000,当前重启 E256,1.9730351621454412,0.3831046006896279
6250,当前重启 E256,1.9670822837136008,0.38412412188269873
6500,当前重启 E256,1.9499715566635132,0.3902355134487152
6750,当前重启 E256,1.91763174533844,0.3979964635588906
7000,当前重启 E256,1.927857063033364,0.39391837878660724
7250,当前重启 E256,1.9241822524504228,0.39487489516084845
7500,当前重启 E256,1.8969929001548074,0.4020401754162528
7750,当前重启 E256,1.893297011202032,0.4031857035376809
8000,当前重启 E256,1.8891173601150513,0.4027561274441806
8250,当前重启 E256,1.873737400228327,0.407452791929245
8500,当前重启 E256,1.8657685951753096,0.4105972647666931
8750,当前重启 E256,1.857958035035567,0.41348972103812476
9000,当前重启 E256,1.8577492453835227,0.41184588453986426
