group,mae,max_abs,mse,n_values,rmse,task
arms,0.002046825196644469,0.051382213830947876,1.0425080632786012e-05,114688,0.003228789344752304,PnPBottleToCabinetClose
hands,0.0019605584894245944,0.15183523297309875,5.6212342968214765e-05,98304,0.00749748911091005,PnPBottleToCabinetClose
left_arm,0.0019076769325506251,0.03386114537715912,8.827878404613096e-06,57344,0.002971174583327795,PnPBottleToCabinetClose
left_hand,0.002654404493947974,0.15183523297309875,9.724393574355826e-05,49152,0.009861233986857744,PnPBottleToCabinetClose
right_arm,0.0021859734607383124,0.051382213830947876,1.2022282860958942e-05,57344,0.003467316377396061,PnPBottleToCabinetClose
right_hand,0.001266712484901215,0.08205091953277588,1.5180750192871154e-05,49152,0.0038962482201306365,PnPBottleToCabinetClose
waist,0.0024257020228546367,0.03115580976009369,1.4221192523063463e-05,24576,0.003771099643746299,PnPBottleToCabinetClose
arms,0.002086228838442196,0.0421375036239624,9.767651287983905e-06,114688,0.0031253241892616364,PnPCanToDrawerClose
hands,0.0017915347112840152,0.1221855878829956,4.850861240297257e-05,98304,0.006964812445642206,PnPCanToDrawerClose
left_arm,0.0019291691543700726,0.03362829238176346,8.388551127343034e-06,57344,0.0028962995575981146,PnPCanToDrawerClose
left_hand,0.0024212775442838583,0.1221855878829956,8.438437907751674e-05,49152,0.009186097053565063,PnPCanToDrawerClose
right_arm,0.0022432885225143195,0.0421375036239624,1.1146751448624769e-05,57344,0.0033386751037836502,PnPCanToDrawerClose
right_hand,0.0011617918782841723,0.10349571704864502,1.2632845728428455e-05,49152,0.0035542714764672176,PnPCanToDrawerClose
waist,0.002428596586147099,0.031020164489746094,1.3553271312163727e-05,24576,0.003681476784140262,PnPCanToDrawerClose
arms,0.0020733852645517764,0.03819897770881653,1.0079916909212339e-05,114688,0.003174888487681471,PnPCupToDrawerClose
hands,0.002020473028792935,0.13718926906585693,5.8049206393345956e-05,98304,0.0076190029789563645,PnPCupToDrawerClose
left_arm,0.001961909245467654,0.033169180154800415,9.031350038798322e-06,57344,0.003005220464258541,PnPCupToDrawerClose
left_hand,0.002699351127328479,0.13718926906585693,9.867411272984492e-05,49152,0.009933484420375607,PnPCupToDrawerClose
right_arm,0.002184861283635899,0.03819897770881653,1.112848377962636e-05,57344,0.003335938215798722,PnPCupToDrawerClose
right_hand,0.001341594930257391,0.09734600782394409,1.7424300056846826e-05,49152,0.004174242453050233,PnPCupToDrawerClose
waist,0.002461424445122873,0.031414031982421875,1.4091041019815133e-05,24576,0.0037538035403860887,PnPCupToDrawerClose
arms,0.001856974887664009,0.047412727028131485,8.541436970063994e-06,114688,0.002922573689415546,PnPMilkToMicrowaveClose
