mae,max_abs,mse,n_values,rmse,task,time_group
0.004680185414123872,0.15183523297309875,9.120426958847267e-05,59392,0.009550092648161727,PnPBottleToCabinetClose,t00_03
0.0012430014004923484,0.06560039520263672,9.242345111006904e-06,59392,0.003040122548682356,PnPBottleToCabinetClose,t04_07
0.0011240402201658898,0.06365007162094116,7.775078076009636e-06,59392,0.00278838269898693,PnPBottleToCabinetClose,t08_11
0.0011540640955188003,0.12000787258148193,1.0835248196479369e-05,59392,0.003291693818762518,PnPBottleToCabinetClose,t12_15
0.004368405597876423,0.11257630586624146,7.927731871975303e-05,59392,0.00890378114734145,PnPCanToDrawerClose,t00_03
0.001254170773441461,0.06250828504562378,7.888461402087368e-06,59392,0.0028086404900035476,PnPCanToDrawerClose,t04_07
0.001108994185365965,0.0626370906829834,5.68697167684256e-06,59392,0.002384737234338945,PnPCanToDrawerClose,t08_11
0.001267244620149285,0.1221855878829956,1.1907286932894604e-05,59392,0.0034506936886508203,PnPCanToDrawerClose,t12_15
0.004665525242601646,0.13718926906585693,9.32302016330019e-05,59392,0.009655578782911043,PnPCupToDrawerClose,t00_03
0.0012393733349074997,0.06357675790786743,8.535683588108708e-06,59392,0.0029215892230272053,PnPCupToDrawerClose,t04_07
0.0011880574871615725,0.06356358528137207,8.560989074658087e-06,59392,0.0029259167921624305,PnPCupToDrawerClose,t08_11
0.0012735740573442764,0.10920333862304688,1.1050013498516604e-05,59392,0.0033241560580870152,PnPCupToDrawerClose,t12_15
0.004110301780383354,0.1361425518989563,6.649428183081386e-05,59392,0.008154402604165056,PnPMilkToMicrowaveClose,t00_03
0.0010362535963213892,0.06229126453399658,5.025029000223972e-06,59392,0.0022416576456327966,PnPMilkToMicrowaveClose,t04_07
0.0010009258663022436,0.06176018714904785,5.486690388280472e-06,59392,0.0023423685423691275,PnPMilkToMicrowaveClose,t08_11
0.0011133131597316675,0.12050402164459229,9.6720049807564e-06,59392,0.003109984723556757,PnPMilkToMicrowaveClose,t12_15
0.0014087332001779653,0.05875393748283386,6.243894472932436e-06,59392,0.0024987785962210488,PnPNovelFromCuttingboardToBasketSplitA,t00_03
0.000722705161296072,0.027887046337127686,1.345241238813909e-06,59392,0.001159845351248997,PnPNovelFromCuttingboardToBasketSplitA,t04_07
0.0006794707703455537,0.016957206651568413,1.1243804249103234e-06,59392,0.0010603680610572555,PnPNovelFromCuttingboardToBasketSplitA,t08_11
0.0007085230049869124,0.019868094474077225,1.2502302679420918e-06,59392,0.0011181369629620925,PnPNovelFromCuttingboardToBasketSplitA,t12_15
0.00132197846541266,0.07437443733215332,5.7004635202083935e-06,59392,0.0023875643489146827,PnPNovelFromCuttingboardToCardboardboxSplitA,t00_03
0.000780019509811815,0.05633808299899101,2.277255773788758e-06,59392,0.0015090579093556212,PnPNovelFromCuttingboardToCardboardboxSplitA,t04_07
0.00069116600383623,0.02404925227165222,1.2086415979074706e-06,59392,0.0010993823711100113,PnPNovelFromCuttingboardToCardboardboxSplitA,t08_11
0.0007239951064935345,0.011166423559188843,1.2584530172004428e-06,59392,0.001121807923487993,PnPNovelFromCuttingboardToCardboardboxSplitA,t12_15
0.0011602172805341665,0.027818381786346436,3.383257421048536e-06,59392,0.001839363319480014,PnPNovelFromCuttingboardToPanSplitA,t00_03
0.0007353688304735794,0.03511449694633484,1.4730998723924178e-06,59392,0.001213713257895957,PnPNovelFromCuttingboardToPanSplitA,t04_07
