mae,max_abs,mse,n_values,phase,rmse,task
0.0018075183123845277,0.11753907799720764,1.7078717861224848e-05,49184,traj_q1,0.004132640543432836,PnPBottleToCabinetClose
0.00211843340647302,0.12000787258148193,3.643462526280404e-05,61248,traj_q2,0.00603611011022861,PnPBottleToCabinetClose
0.0023913706514926375,0.15183523297309875,3.9396973849667635e-05,64960,traj_q3,0.006276700873043707,PnPBottleToCabinetClose
0.0018189792738981252,0.11797809600830078,2.3164160279690518e-05,62176,traj_q4,0.004812915985106172,PnPBottleToCabinetClose
0.0018565986236119224,0.10349571704864502,1.4965248084810527e-05,63568,traj_q1,0.0038684942916864342,PnPCanToDrawerClose
0.002258932020352814,0.1221855878829956,3.7240954470590776e-05,63568,traj_q2,0.006102536724231226,PnPCanToDrawerClose
0.002377613620313258,0.10730093717575073,4.1941875199874714e-05,56608,traj_q3,0.006476254720119856,PnPCanToDrawerClose
0.0014651015752866797,0.07302829623222351,9.828676147993399e-06,53824,traj_q4,0.0031350719526022685,PnPCanToDrawerClose
0.001731136080129877,0.09734600782394409,1.432281707495079e-05,63104,traj_q1,0.003784549784974534,PnPCupToDrawerClose
0.002341160365170822,0.13718926906585693,4.2048244807789886e-05,55216,traj_q2,0.006484461797851067,PnPCupToDrawerClose
0.0025413767017015334,0.10930287837982178,4.6068326606631856e-05,61712,traj_q3,0.006787365218303186,PnPCupToDrawerClose
0.00176516261240826,0.08885982632637024,1.9818628586017597e-05,57536,traj_q4,0.004451811831829552,PnPCupToDrawerClose
0.0017393523117187153,0.1361425518989563,1.5175494112845259e-05,58000,traj_q1,0.003895573656452315,PnPMilkToMicrowaveClose
0.0017287100672984162,0.07493919134140015,1.7957123410038517e-05,54288,traj_q2,0.004237584619808614,PnPMilkToMicrowaveClose
0.0018864522981265734,0.13133925199508667,2.5332882771321737e-05,54288,traj_q3,0.00503317819785091,PnPMilkToMicrowaveClose
0.0018888146917057814,0.09235376119613647,2.7012531413625867e-05,70992,traj_q4,0.005197358118662391,PnPMilkToMicrowaveClose
0.0009915902604699137,0.05064833164215088,3.824368859164299e-06,59856,traj_q1,0.0019555993605962084,PnPNovelFromCuttingboardToBasketSplitA
0.0008125597540780352,0.026845112442970276,1.7700413862120966e-06,43616,traj_q2,0.001330429023365056,PnPNovelFromCuttingboardToBasketSplitA
0.0008591433473139558,0.05278077721595764,2.183012024884086e-06,77024,traj_q3,0.001477501954274202,PnPNovelFromCuttingboardToBasketSplitA
0.0008420630680744844,0.05875393748283386,2.0589599229410686e-06,57072,traj_q4,0.0014349076356828926,PnPNovelFromCuttingboardToBasketSplitA
0.0010237356833917729,0.057890575379133224,4.698751015758791e-06,51040,traj_q1,0.002167660262992979,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0008569551415347236,0.07437443733215332,2.3730039775898343e-06,66816,traj_q2,0.0015404557694363816,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0008266667424252942,0.05514594912528992,1.8772554414547932e-06,62176,traj_q3,0.0013701297170176235,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0008339560799343389,0.03443431854248047,1.82910295729115e-06,57536,traj_q4,0.0013524433286800411,PnPNovelFromCuttingboardToCardboardboxSplitA
0.0008879431608265849,0.03511449694633484,2.4055662212896845e-06,51968,traj_q1,0.0015509887882540236,PnPNovelFromCuttingboardToPanSplitA
0.0008361799149615794,0.027818381786346436,1.7641555180164674e-06,60784,traj_q2,0.0013282151625457629,PnPNovelFromCuttingboardToPanSplitA
0.0008119837327924148,0.019500911235809326,1.6807115694494566e-06,63104,traj_q3,0.0012964226044964878,PnPNovelFromCuttingboardToPanSplitA
0.0007807745455856175,0.015915749594569206,1.513647617937323e-06,61712,traj_q4,0.0012303038721947204,PnPNovelFromCuttingboardToPanSplitA
0.0009461643680060383,0.06182686984539032,3.4927155542877883e-06,57536,traj_q1,0.0018688808293435375,PnPNovelFromCuttingboardToPotSplitA
0.0008981102389368261,0.0638415515422821,2.5167338888395326e-06,59392,traj_q2,0.001586421724775456,PnPNovelFromCuttingboardToPotSplitA
0.0008612551457713923,0.08272910118103027,2.7409780255155935e-06,60320,traj_q3,0.0016555899327779188,PnPNovelFromCuttingboardToPotSplitA
0.0008403900211537477,0.04670622944831848,2.0876556470095893e-06,60320,traj_q4,0.0014448721905447517,PnPNovelFromCuttingboardToPotSplitA
0.0009082763053851476,0.04992955923080444,2.5819150734186542e-06,47328,traj_q1,0.0016068338661537646,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0008050610747775237,0.019260704517364502,1.6255220790013822e-06,64032,traj_q2,0.0012749596381852182,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0008323008795299718,0.030863415449857712,1.93984501078099e-06,68208,traj_q3,0.001392783188719978,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0008185817553440474,0.04096491262316704,1.8799252767990619e-06,58000,traj_q4,0.0013711036710617698,PnPNovelFromCuttingboardToTieredbasketSplitA
0.0008922049427267331,0.03293070197105408,2.4543758961325128e-06,65888,traj_q1,0.0015666447893930879,PnPNovelFromPlacematToBasketSplitA
0.0008191899622980037,0.021304965019226074,1.712918337425821e-06,70528,traj_q2,0.0013087850615841475,PnPNovelFromPlacematToBasketSplitA
0.0008423742222603474,0.02805396541953087,1.9912755875799808e-06,50112,traj_q3,0.0014111256455680977,PnPNovelFromPlacematToBasketSplitA
0.0008497445606877195,0.023123621940612793,1.984565216461056e-06,51040,traj_q4,0.0014087459730061543,PnPNovelFromPlacematToBasketSplitA
0.0008904160678860522,0.04886104166507721,2.5031051391351317e-06,54752,traj_q1,0.001582120456581967,PnPNovelFromPlacematToBowlSplitA
0.0008273842816425858,0.024434834718704224,1.69366508419181e-06,56608,traj_q2,0.0013014088843218375,PnPNovelFromPlacematToBowlSplitA
0.0008038273623869972,0.019422173500061035,1.6658319285302439e-06,63568,traj_q3,0.0012906711155558739,PnPNovelFromPlacematToBowlSplitA
0.0008067629513390731,0.015498340129852295,1.6269406074271283e-06,62640,traj_q4,0.0012755158201398868,PnPNovelFromPlacematToBowlSplitA
0.0008830034865934684,0.03692328929901123,2.407874171707834e-06,70992,traj_q1,0.0015517326353814416,PnPNovelFromPlacematToPlateSplitA
0.0008406613745465922,0.03661684691905975,1.8805564864720097e-06,54288,traj_q2,0.0013713338348017268,PnPNovelFromPlacematToPlateSplitA
0.00079640678538072,0.014310747385025024,1.6077555137182896e-06,55216,traj_q3,0.0012679729940808242,PnPNovelFromPlacematToPlateSplitA
0.0007995851369033183,0.03234054520726204,1.6914573843680998e-06,57072,traj_q4,0.0013005604116564904,PnPNovelFromPlacematToPlateSplitA
0.0009013362949071065,0.028661370277404785,2.575920381653643e-06,64496,traj_q1,0.0016049674082839324,PnPNovelFromPlacematToTieredshelfSplitA
0.0008211891336941117,0.02154344692826271,1.7086865379528539e-06,66816,traj_q2,0.0013071673718207833,PnPNovelFromPlacematToTieredshelfSplitA
0.0008181568164465658,0.09038481116294861,2.235865667271586e-06,57072,traj_q3,0.0014952811331892027,PnPNovelFromPlacematToTieredshelfSplitA
0.0008090647739752153,0.01394854485988617,1.6541121161691913e-06,49184,traj_q4,0.0012861229008804685,PnPNovelFromPlacematToTieredshelfSplitA
0.0008966225299299067,0.03976285457611084,2.590397713573359e-06,64960,traj_q1,0.0016094712527949541,PnPNovelFromPlateToBowlSplitA
0.0008330178294972135,0.03733545541763306,1.8251564185895563e-06,53360,traj_q2,0.001350983500487536,PnPNovelFromPlateToBowlSplitA
0.000790802005062394,0.013569679111242294,1.5801364951571755e-06,57536,traj_q3,0.0012570348026833527,PnPNovelFromPlateToBowlSplitA
0.0007938692764342763,0.031995050609111786,1.5814233601996171e-06,61712,traj_q4,0.0012575465638295933,PnPNovelFromPlateToBowlSplitA
0.000953944898329784,0.05262097716331482,3.382445838364454e-06,73312,traj_q1,0.0018391426911374914,PnPNovelFromPlateToCardboardboxSplitA
0.0008270297305959315,0.012811869382858276,1.6539238853397884e-06,58928,traj_q2,0.0012860497211771356,PnPNovelFromPlateToCardboardboxSplitA
0.0008139180438164637,0.017907723784446716,1.6954158000973222e-06,57536,traj_q3,0.0013020813339025034,PnPNovelFromPlateToCardboardboxSplitA
0.0007983868214139879,0.016871243715286255,1.6232097147894466e-06,47792,traj_q4,0.0012740524772510144,PnPNovelFromPlateToCardboardboxSplitA
0.000909046083011872,0.04125010967254639,2.8007974777003146e-06,64496,traj_q1,0.001673558328144052,PnPNovelFromPlateToPanSplitA
0.000845639866737738,0.04052305221557617,1.7810321916430794e-06,55216,traj_q2,0.0013345531805226344,PnPNovelFromPlateToPanSplitA
0.0008284940970303556,0.016740072518587112,1.765309672321072e-06,58464,traj_q3,0.00132864956716249,PnPNovelFromPlateToPanSplitA
0.0007778679129136805,0.01145772635936737,1.4749621578364096e-06,59392,traj_q4,0.001214480200676985,PnPNovelFromPlateToPanSplitA
0.0009105373359611789,0.029801826924085617,2.564864908004497e-06,54288,traj_q1,0.0016015195621672865,PnPNovelFromPlateToPlateSplitA
0.0008266941182123674,0.02119612693786621,1.6722472785332348e-06,55216,traj_q2,0.0012931540041825006,PnPNovelFromPlateToPlateSplitA
0.0008083029238309711,0.02165926992893219,1.6827409486588539e-06,64032,traj_q3,0.0012972050526647103,PnPNovelFromPlateToPlateSplitA
0.0008104294260161184,0.016189660876989365,1.6815111925829849e-06,64032,traj_q4,0.0012967309638406053,PnPNovelFromPlateToPlateSplitA
0.000965735639586074,0.058563947677612305,3.697584153461473e-06,58464,traj_q1,0.0019229103342229645,PnPNovelFromTrayToCardboardboxSplitA
0.0007996509390785408,0.012021064758300781,1.5124707936858404e-06,38512,traj_q2,0.0012298255135123196,PnPNovelFromTrayToCardboardboxSplitA
0.0008029472707975285,0.021138668060302734,1.6536411049216764e-06,62176,traj_q3,0.0012859397749979103,PnPNovelFromTrayToCardboardboxSplitA
0.0008106748697954394,0.055991947650909424,1.795145603373577e-06,78416,traj_q4,0.0013398304382919418,PnPNovelFromTrayToCardboardboxSplitA
0.0009566425883546104,0.043024949729442596,3.26960870400849e-06,55680,traj_q1,0.001808205935176768,PnPNovelFromTrayToPlateSplitA
0.0008525555158141532,0.059910789132118225,2.0572694207000713e-06,60784,traj_q2,0.0014343184516348074,PnPNovelFromTrayToPlateSplitA
0.0008678249520353562,0.08261096477508545,2.7242726431795035e-06,61712,traj_q3,0.0016505370771901803,PnPNovelFromTrayToPlateSplitA
0.0008242375078567736,0.04183122515678406,1.9260990149022003e-06,59392,traj_q4,0.0013878396935173025,PnPNovelFromTrayToPlateSplitA
0.0008642454988739332,0.036623477935791016,2.3776908691771226e-06,70992,traj_q1,0.0015419762868400806,PnPNovelFromTrayToPotSplitA
0.0008117249931599653,0.0178595632314682,1.587676789078743e-06,46400,traj_q2,0.0012600304714881871,PnPNovelFromTrayToPotSplitA
0.0008171637459268583,0.01806524768471718,1.756576485217275e-06,56144,traj_q3,0.0013253590023903994,PnPNovelFromTrayToPotSplitA
0.0007915544005685979,0.025485031306743622,1.5951789171431787e-06,64032,traj_q4,0.0012630039260204929,PnPNovelFromTrayToPotSplitA
0.0009740060567801474,0.060473501682281494,4.0812530719009355e-06,57072,traj_q1,0.0020202111453758824,PnPNovelFromTrayToTieredbasketSplitA
0.0008162042740634336,0.04752339422702789,1.9465667017938058e-06,51968,traj_q2,0.0013951941448392786,PnPNovelFromTrayToTieredbasketSplitA
0.0008110678333588407,0.019790321588516235,1.7077367672166906e-06,55216,traj_q3,0.0013068040278544793,PnPNovelFromTrayToTieredbasketSplitA
0.0007952676635347997,0.017474353313446045,1.6058920685945633e-06,73312,traj_q4,0.0012672379684157838,PnPNovelFromTrayToTieredbasketSplitA
0.0009053228336565469,0.032804928719997406,2.6170141393939375e-06,52432,traj_q1,0.0016177188072696495,PnPNovelFromTrayToTieredshelfSplitA
0.0008264635665952007,0.027873188257217407,1.7596160699952902e-06,53360,traj_q2,0.0013265052091851318,PnPNovelFromTrayToTieredshelfSplitA
0.0007853632250606339,0.020381808280944824,1.6136262246710891e-06,68672,traj_q3,0.0012702858830480205,PnPNovelFromTrayToTieredshelfSplitA
0.0008406310004878607,0.04132944345474243,2.035715678696054e-06,63104,traj_q4,0.0014267850849711229,PnPNovelFromTrayToTieredshelfSplitA
0.0017754295124326267,0.12242394685745239,1.6043861915170616e-05,62640,traj_q1,0.004005478986984031,PnPPotatoToMicrowaveClose
0.0016658715471461146,0.09098219871520996,1.6692355482566257e-05,62176,traj_q2,0.004085627917782805,PnPPotatoToMicrowaveClose
