group,mae,max_abs,mse,n_values,rmse,task
arms,0.02602403347730986,0.1913517415523529,0.0011105662426693867,458752,0.033325159304486256,PnPBottleToCabinetClose
hands,0.006790292513425185,0.1434594988822937,0.00010069246238758482,393216,0.010034563387989774,PnPBottleToCabinetClose
left_arm,0.02681742008198183,0.17575109004974365,0.0011858728174200192,229376,0.03443650414051953,PnPBottleToCabinetClose
left_hand,0.008428953890870616,0.1434594988822937,0.00015012663508343502,196608,0.012252617478866915,PnPBottleToCabinetClose
right_arm,0.02523064687263789,0.1913517415523529,0.0010352596679187515,229376,0.03217545132424333,PnPBottleToCabinetClose
right_hand,0.005151631135979755,0.04047536849975586,5.125828969173452e-05,196608,0.007159489485412666,PnPBottleToCabinetClose
waist,0.024646960951652197,0.13386747241020203,0.0008516220124387511,98304,0.029182563500123684,PnPBottleToCabinetClose
arms,0.026428267409462056,0.1951008439064026,0.0011051083514607692,458752,0.033243169997170384,PnPCanToDrawerClose
hands,0.006444369647002013,0.07968813180923462,8.024348444443743e-05,393216,0.00895787276335389,PnPCanToDrawerClose
left_arm,0.02449722615277545,0.1951008439064026,0.0009100615715654803,229376,0.030167226779494998,PnPCanToDrawerClose
left_hand,0.007710074440183234,0.07968813180923462,0.00011491112810609794,196608,0.010719660820478321,PnPCanToDrawerClose
right_arm,0.028359308666148664,0.1836116909980774,0.0013001551313560592,229376,0.03605766397530571,PnPCanToDrawerClose
right_hand,0.005178664853820791,0.024523496627807617,4.557584078277671e-05,196608,0.0067509881338050585,PnPCanToDrawerClose
waist,0.024023055154392143,0.10943573713302612,0.0007789235880013373,98304,0.027909202568352564,PnPCanToDrawerClose
arms,0.025836564121007734,0.1650264859199524,0.0010620675887879076,458752,0.03258937846581164,PnPCupToDrawerClose
hands,0.007557418250763022,0.0878402590751648,0.00011196973867645645,393216,0.010581575434520913,PnPCupToDrawerClose
left_arm,0.026724371666266147,0.15683847665786743,0.0010949226972393274,229376,0.033089616154306285,PnPCupToDrawerClose
left_hand,0.00903104198944978,0.0878402590751648,0.00015822343120117715,196608,0.01257868956613435,PnPCupToDrawerClose
right_arm,0.024948756575749322,0.1650264859199524,0.001029212480336495,229376,0.032081341623075785,PnPCupToDrawerClose
right_hand,0.006083794512076264,0.04441869258880615,6.571604615173561e-05,196608,0.008106543415768252,PnPCupToDrawerClose
waist,0.02532000106275234,0.11811307072639465,0.0008431056447670806,98304,0.029036281524449384,PnPCupToDrawerClose
arms,0.025978284029894327,0.25483256578445435,0.001101441650222537,458752,0.033187974482070115,PnPMilkToMicrowaveClose
hands,0.00788368061188501,0.1038770079612732,0.00013290277603835628,393216,0.011528346630734014,PnPMilkToMicrowaveClose
left_arm,0.026885607297869436,0.2470519095659256,0.001163348349806288,229376,0.03410789277874387,PnPMilkToMicrowaveClose
left_hand,0.01023903263073104,0.1038770079612732,0.00020987641746338502,196608,0.014487112116063195,PnPMilkToMicrowaveClose
right_arm,0.02507096076191922,0.25483256578445435,0.0010395349506387864,229376,0.032241819902709995,PnPMilkToMicrowaveClose
right_hand,0.005528328593038978,0.039259135723114014,5.592913461332852e-05,196608,0.007478578381840262,PnPMilkToMicrowaveClose
waist,0.021067762978357035,0.1532776951789856,0.0007442774159918134,98304,0.027281448201879117,PnPMilkToMicrowaveClose
arms,0.0053816859822396635,0.3486623466014862,5.7158888019084445e-05,458752,0.0075603497286226415,PnPNovelFromCuttingboardToBasketSplitA
hands,0.0004263546489455076,0.06511390209197998,5.548670705860067e-07,393216,0.0007448939995637007,PnPNovelFromCuttingboardToBasketSplitA
left_arm,0.004996630112539527,0.23299850523471832,5.0412911373326874e-05,229376,0.007100205023330444,PnPNovelFromCuttingboardToBasketSplitA
left_hand,0.0003863968598144159,0.02369236946105957,3.534023948919503e-07,196608,0.0005944765721977194,PnPNovelFromCuttingboardToBasketSplitA
right_arm,0.0057667418519398005,0.3486623466014862,6.390486466484212e-05,229376,0.007994051830257427,PnPNovelFromCuttingboardToBasketSplitA
right_hand,0.0004663124380765993,0.06511390209197998,7.563317462800642e-07,196608,0.0008696733560826526,PnPNovelFromCuttingboardToBasketSplitA
waist,0.0037905151969124993,0.20862770080566406,3.8597251635699463e-05,98304,0.00621266864042333,PnPNovelFromCuttingboardToBasketSplitA
arms,0.005453997015184548,0.1139969527721405,5.4620583017069466e-05,458752,0.0073905739301538325,PnPNovelFromCuttingboardToCardboardboxSplitA
hands,0.00041615254032811855,0.020166397094726562,4.6260995144170404e-07,393216,0.0006801543585405478,PnPNovelFromCuttingboardToCardboardboxSplitA
left_arm,0.0051617175023809725,0.10413555800914764,5.015912911807796e-05,229376,0.007082311001225374,PnPNovelFromCuttingboardToCardboardboxSplitA
left_hand,0.0003943926726985107,0.0122414231300354,3.209667015539551e-07,196608,0.0005665392321401538,PnPNovelFromCuttingboardToCardboardboxSplitA
right_arm,0.005746276527988124,0.1139969527721405,5.9082036916060786e-05,229376,0.0076864840412285244,PnPNovelFromCuttingboardToCardboardboxSplitA
right_hand,0.0004379124079577264,0.020166397094726562,6.042532013294547e-07,196608,0.0007773372507023285,PnPNovelFromCuttingboardToCardboardboxSplitA
waist,0.003810939069874545,0.1564045548439026,3.064937865261523e-05,98304,0.00553618809765485,PnPNovelFromCuttingboardToCardboardboxSplitA
arms,0.005410366981393304,0.2284253090620041,5.420425518790822e-05,458752,0.007362353916235501,PnPNovelFromCuttingboardToPanSplitA
hands,0.0004114795283298722,0.030295848846435547,4.5404238917512967e-07,393216,0.0006738266759153497,PnPNovelFromCuttingboardToPanSplitA
left_arm,0.005026422798203629,0.20571225881576538,4.5910191158876034e-05,229376,0.00677570595280492,PnPNovelFromCuttingboardToPanSplitA
left_hand,0.0003709668208576507,0.010156989097595215,2.875084115482629e-07,196608,0.0005361981084900085,PnPNovelFromCuttingboardToPanSplitA
right_arm,0.005794311164582978,0.2284253090620041,6.249831921694035e-05,229376,0.007905587847651835,PnPNovelFromCuttingboardToPanSplitA
right_hand,0.00045199223580209374,0.030295848846435547,6.205763668019953e-07,196608,0.0007877666956669311,PnPNovelFromCuttingboardToPanSplitA
waist,0.003720439987262125,0.1909036636352539,2.7938830046259955e-05,98304,0.0052857194445278645,PnPNovelFromCuttingboardToPanSplitA
arms,0.005556989853714238,0.12604385614395142,5.785486605638013e-05,458752,0.0076062386273624185,PnPNovelFromCuttingboardToPotSplitA
hands,0.0004516821677992648,0.02759397029876709,6.010790399453215e-07,393216,0.0007752928736582851,PnPNovelFromCuttingboardToPotSplitA
left_arm,0.005234025291607817,0.12411671876907349,5.260734390553446e-05,229376,0.007253092023787818,PnPNovelFromCuttingboardToPotSplitA
left_hand,0.0004035761724310305,0.021306335926055908,3.835835031669336e-07,196608,0.0006193411847818079,PnPNovelFromCuttingboardToPotSplitA
right_arm,0.005879954415820661,0.12604385614395142,6.310238820722579e-05,229376,0.007943701165528937,PnPNovelFromCuttingboardToPotSplitA
right_hand,0.0004997881631674991,0.02759397029876709,8.185745767237093e-07,196608,0.0009047511131375906,PnPNovelFromCuttingboardToPotSplitA
waist,0.0039747152147408355,0.18281906843185425,3.786143276347828e-05,98304,0.006153164451197309,PnPNovelFromCuttingboardToPotSplitA
arms,0.005199716566682959,0.13693112134933472,4.819565206569406e-05,458752,0.006942308842574929,PnPNovelFromCuttingboardToTieredbasketSplitA
hands,0.00040170962875896166,0.013160943984985352,4.0401082121575675e-07,393216,0.000635618455691586,PnPNovelFromCuttingboardToTieredbasketSplitA
left_arm,0.0047823396160539145,0.10697507858276367,4.028177183436206e-05,229376,0.006346792247613125,PnPNovelFromCuttingboardToTieredbasketSplitA
left_hand,0.00036392364321121323,0.008629024028778076,2.7893862123606777e-07,196608,0.0005281464013283323,PnPNovelFromCuttingboardToTieredbasketSplitA
right_arm,0.005617093517312004,0.13693112134933472,5.610953229702625e-05,229376,0.007490629632883089,PnPNovelFromCuttingboardToTieredbasketSplitA
right_hand,0.0004394956143067101,0.013160943984985352,5.290830211954455e-07,196608,0.0007273809326587036,PnPNovelFromCuttingboardToTieredbasketSplitA
waist,0.0034918162326439037,0.13006076216697693,2.4713391046908385e-05,98304,0.0049712564857295775,PnPNovelFromCuttingboardToTieredbasketSplitA
arms,0.005374735806862739,0.12625302374362946,5.252209648224533e-05,458752,0.007247213014824757,PnPNovelFromPlacematToBasketSplitA
hands,0.00041104523033030915,0.013364553451538086,4.199647324898177e-07,393216,0.0006480468597947356,PnPNovelFromPlacematToBasketSplitA
left_arm,0.00498106725017901,0.08180150389671326,4.5591146475537324e-05,229376,0.006752121627720973,PnPNovelFromPlacematToBasketSplitA
left_hand,0.0003760531539285239,0.013364553451538086,3.0366362714344824e-07,196608,0.0005510568275082419,PnPNovelFromPlacematToBasketSplitA
right_arm,0.005768404363546468,0.12625302374362946,5.945304648895336e-05,229376,0.007710580165522784,PnPNovelFromPlacematToBasketSplitA
right_hand,0.0004460373067320944,0.0105208158493042,5.362658378361901e-07,196608,0.0007323017396102443,PnPNovelFromPlacematToBasketSplitA
waist,0.003563419965641875,0.13390189409255981,2.416900453271816e-05,98304,0.004916198178747289,PnPNovelFromPlacematToBasketSplitA
arms,0.005379833135939783,0.08525845408439636,5.170509456767539e-05,458752,0.007190625464288582,PnPNovelFromPlacematToBowlSplitA
hands,0.0004098287533058631,0.017266511917114258,4.262458909034571e-07,393216,0.0006528750959436706,PnPNovelFromPlacematToBowlSplitA
left_arm,0.005033891817526686,0.07157054543495178,4.55890280909396e-05,229376,0.006751964757827132,PnPNovelFromPlacematToBowlSplitA
left_hand,0.0003697423524802919,0.017266511917114258,2.9181847302349764e-07,196608,0.0005402022519607796,PnPNovelFromPlacematToBowlSplitA
right_arm,0.005725774454352882,0.08525845408439636,5.782116104441113e-05,229376,0.007604022688315122,PnPNovelFromPlacematToBowlSplitA
right_hand,0.0004499151541314343,0.014771580696105957,5.606733087834182e-07,196608,0.0007487812155652799,PnPNovelFromPlacematToBowlSplitA
waist,0.003602391277922834,0.10304579138755798,2.537830630227537e-05,98304,0.005037688587266522,PnPNovelFromPlacematToBowlSplitA
arms,0.005384247881385108,0.2739177346229553,5.3807530020215334e-05,458752,0.007335361614822771,PnPNovelFromPlacematToPlateSplitA
hands,0.0004112502703457199,0.02711176872253418,4.422109682515884e-07,393216,0.0006649894497295339,PnPNovelFromPlacematToPlateSplitA
left_arm,0.004968565163142908,0.07427596300840378,4.470256907419537e-05,229376,0.006685997986403778,PnPNovelFromPlacematToPlateSplitA
left_hand,0.00038182564887279113,0.011305510997772217,3.170689911106356e-07,196608,0.0005630887950498,PnPNovelFromPlacematToPlateSplitA
right_arm,0.005799930599627309,0.2739177346229553,6.29124909662354e-05,229376,0.007931739466613574,PnPNovelFromPlacematToPlateSplitA
right_hand,0.0004406748918186487,0.02711176872253418,5.673529453925412e-07,196608,0.0007532283487711686,PnPNovelFromPlacematToPlateSplitA
waist,0.0037193440200897023,0.11628895998001099,2.737996324812976e-05,98304,0.005232586668955399,PnPNovelFromPlacematToPlateSplitA
arms,0.005157087815562079,0.1547056883573532,4.80404137393549e-05,458752,0.006931119227033603,PnPNovelFromPlacematToTieredshelfSplitA
hands,0.0003837614560794715,0.024109244346618652,4.021537499062778e-07,393216,0.000634155935008321,PnPNovelFromPlacematToTieredshelfSplitA
left_arm,0.004672767121853645,0.07851739227771759,3.892404824915785e-05,229376,0.006238914028030668,PnPNovelFromPlacematToTieredshelfSplitA
left_hand,0.0003529839034115412,0.010665595531463623,2.630089834722091e-07,196608,0.0005128440147571277,PnPNovelFromPlacematToTieredshelfSplitA
right_arm,0.0056414085092705134,0.1547056883573532,5.715677922955193e-05,229376,0.007560210263580764,PnPNovelFromPlacematToTieredshelfSplitA
right_hand,0.00041453900874740174,0.024109244346618652,5.41298516340348e-07,196608,0.0007357299207863902,PnPNovelFromPlacematToTieredshelfSplitA
