group,mae,max_abs,mse,n_values,rmse,task
arms,0.02821042041633908,0.16387195885181427,0.0012820876202385124,3584,0.035806251133545276,PnPBottleToCabinetClose
hands,0.007351463861652974,0.09164243936538696,0.00013072176650798763,3072,0.011433361994968392,PnPBottleToCabinetClose
left_arm,0.02946445319360334,0.11824847757816315,0.0013951878516301152,1792,0.037352213476983066,PnPBottleToCabinetClose
left_hand,0.009627773892134428,0.09164243936538696,0.00020468915790603412,1536,0.014306961868476274,PnPBottleToCabinetClose
right_arm,0.02695638763907482,0.16387195885181427,0.0011689873888469093,1792,0.03419045757001373,PnPBottleToCabinetClose
right_hand,0.005075153831171519,0.033362627029418945,5.6754375109941195e-05,1536,0.007533549967308984,PnPBottleToCabinetClose
waist,0.02393716345250141,0.09555423259735107,0.0008095007880762349,768,0.02845172733027355,PnPBottleToCabinetClose
arms,0.024222243276556452,0.11080721020698547,0.0009413821775659289,3584,0.030681951984284327,PnPCanToDrawerClose
hands,0.006459521467528854,0.0609089732170105,7.520829538259565e-05,3072,0.008672271639114843,PnPCanToDrawerClose
left_arm,0.022944711078902662,0.0937301516532898,0.0008219118828998935,1792,0.028669005614075517,PnPCanToDrawerClose
left_hand,0.007436231321965654,0.0609089732170105,0.00010094535174668313,1536,0.01004715640102627,PnPCanToDrawerClose
right_arm,0.025499775474210246,0.11080721020698547,0.0010608524722319644,1792,0.03257073029933416,PnPCanToDrawerClose
right_hand,0.0054828116130920534,0.01770329475402832,4.947123901850815e-05,1536,0.0070335793887968704,PnPCanToDrawerClose
waist,0.022499974108844373,0.0889841765165329,0.0007029367687614277,768,0.026512954734646755,PnPCanToDrawerClose
arms,0.02630280406940853,0.10279470682144165,0.0010835213266664379,3584,0.03291688513007326,PnPCupToDrawerClose
hands,0.007648976433178707,0.08247536420822144,0.0001245833979062109,3072,0.01116169332611369,PnPCupToDrawerClose
left_arm,0.02726900676706074,0.10279470682144165,0.0011110332775133,1792,0.03333216580891947,PnPCupToDrawerClose
left_hand,0.009475437264579037,0.08247536420822144,0.00018526266882899997,1536,0.013611122981921806,PnPCupToDrawerClose
right_arm,0.025336601371756324,0.10139229893684387,0.0010560093758195757,1792,0.03249629787867497,PnPCupToDrawerClose
right_hand,0.0058225156017783775,0.03196120262145996,6.39041269834218e-05,1536,0.007994005690729887,PnPCupToDrawerClose
waist,0.025683199556321295,0.0962231308221817,0.0008819761281378087,768,0.02969808290340992,PnPCupToDrawerClose
arms,0.02714348772022796,0.18881848454475403,0.001204408411549986,3584,0.034704587759401294,PnPMilkToMicrowaveClose
hands,0.008094501892666509,0.0834004282951355,0.00013058149679900303,3072,0.01142722612006094,PnPMilkToMicrowaveClose
left_arm,0.027584039138153976,0.18881848454475403,0.0012231751382951153,1792,0.034973920831029445,PnPMilkToMicrowaveClose
left_hand,0.010075187621017298,0.0834004282951355,0.00019490796403231111,1536,0.013960944238564636,PnPMilkToMicrowaveClose
right_arm,0.026702936302301947,0.12686751782894135,0.001185641684804857,1792,0.03443314805249234,PnPMilkToMicrowaveClose
right_hand,0.006113816164315722,0.026407241821289062,6.625502956569494e-05,1536,0.008139719255950719,PnPMilkToMicrowaveClose
waist,0.021513125160709023,0.09280848503112793,0.0007491005792520326,768,0.027369701848066093,PnPMilkToMicrowaveClose
arms,0.005561854327051411,0.047030575573444366,5.650817711971718e-05,3584,0.0075171921034198124,PnPNovelFromCuttingboardToBasketSplitA
hands,0.0004957393138624866,0.007471561431884766,6.058069149580925e-07,3072,0.0007783359910463428,PnPNovelFromCuttingboardToBasketSplitA
left_arm,0.0052849653594811185,0.04116456210613251,5.188639482030864e-05,1792,0.007203221141982845,PnPNovelFromCuttingboardToBasketSplitA
left_hand,0.0004350708174267008,0.007471561431884766,4.110114129270993e-07,1536,0.0006411017180815375,PnPNovelFromCuttingboardToBasketSplitA
right_arm,0.005838743294621703,0.047030575573444366,6.11299594191257e-05,1792,0.007818565048595918,PnPNovelFromCuttingboardToBasketSplitA
right_hand,0.0005564078102982725,0.006212115287780762,8.006024169890854e-07,1536,0.0008947638889612641,PnPNovelFromCuttingboardToBasketSplitA
waist,0.0036111717539218566,0.028424501419067383,2.3362924445233333e-05,768,0.004833520915981778,PnPNovelFromCuttingboardToBasketSplitA
arms,0.006211470770787335,0.07020832598209381,7.065052018544151e-05,3584,0.00840538637930711,PnPNovelFromCuttingboardToCardboardboxSplitA
hands,0.0005127273215066452,0.009143590927124023,8.507598536398767e-07,3072,0.0009223664421692046,PnPNovelFromCuttingboardToCardboardboxSplitA
left_arm,0.006058230299134136,0.05523677170276642,6.920116883301912e-05,1792,0.008318723990674237,PnPNovelFromCuttingboardToCardboardboxSplitA
left_hand,0.0004363863833229213,0.00854945182800293,4.402155694661408e-07,1536,0.0006634874297725171,PnPNovelFromCuttingboardToCardboardboxSplitA
right_arm,0.006364711242440535,0.07020832598209381,7.209987153786388e-05,1792,0.008491164321685446,PnPNovelFromCuttingboardToCardboardboxSplitA
right_hand,0.0005890682596903692,0.009143590927124023,1.261304137813613e-06,1536,0.001123077974948139,PnPNovelFromCuttingboardToCardboardboxSplitA
waist,0.004707721279070635,0.08289045095443726,5.098574841498016e-05,768,0.007140430548291899,PnPNovelFromCuttingboardToCardboardboxSplitA
arms,0.005654127138699648,0.05678544193506241,5.552587090693319e-05,3584,0.007451568352161388,PnPNovelFromCuttingboardToPanSplitA
hands,0.00046802954460645196,0.005705595016479492,4.850429301934043e-07,3072,0.000696450235259781,PnPNovelFromCuttingboardToPanSplitA
left_arm,0.00532900689734918,0.05678544193506241,5.24154159700356e-05,1792,0.007239849167630193,PnPNovelFromCuttingboardToPanSplitA
left_hand,0.0004263073205947876,0.005705595016479492,3.531493577752946e-07,1536,0.0005942637106329938,PnPNovelFromCuttingboardToPanSplitA
