mae,max_abs,mse,n_values,rmse,task,time_group
0.021861128085376925,0.11824847757816315,0.0008993338165425427,1856,0.02998889488698346,PnPBottleToCabinetClose,t00_03
0.019125430292237507,0.16387195885181427,0.0007974274020865811,1856,0.028238757091745045,PnPBottleToCabinetClose,t04_07
0.01756386676666368,0.11442017555236816,0.0006770954835133333,1856,0.026021058462586285,PnPBottleToCabinetClose,t08_11
0.01799784279035458,0.10597646236419678,0.0006532316076042646,1856,0.025558396029568536,PnPBottleToCabinetClose,t12_15
0.01968014580213627,0.10374099016189575,0.0007227364127896994,1856,0.026883757415764997,PnPCanToDrawerClose,t00_03
0.016830202990933747,0.08032849431037903,0.0005531835960313578,1856,0.023519855357364717,PnPCanToDrawerClose,t04_07
0.014478358518537224,0.09485381841659546,0.00044788499074683484,1856,0.02116329347589441,PnPCanToDrawerClose,t08_11
0.0157872355585541,0.11080721020698547,0.0005093895296456856,1856,0.022569659493348267,PnPCanToDrawerClose,t12_15
0.021330755498419077,0.10153341293334961,0.0008352095827802895,1856,0.028899992781665006,PnPCupToDrawerClose,t00_03
0.018744769051754075,0.10121333599090576,0.0006862300618282188,1856,0.026195993239963602,PnPCupToDrawerClose,t04_07
0.016496576656083624,0.10279470682144165,0.0005610524841909541,1856,0.02368654648088138,PnPCupToDrawerClose,t08_11
0.017507426081857406,0.09340223670005798,0.0005809875584582046,1856,0.02410368350394198,PnPCupToDrawerClose,t12_15
0.02107278029364446,0.1200244128704071,0.0008365718992042008,1856,0.02892355267259195,PnPMilkToMicrowaveClose,t00_03
0.018486276409272126,0.1057300865650177,0.0006723710483672326,1856,0.02593011855675235,PnPMilkToMicrowaveClose,t04_07
0.016588889718291443,0.1132141500711441,0.0006014335295979324,1856,0.02452414177087411,PnPMilkToMicrowaveClose,t08_11
0.018566843410145997,0.18881848454475403,0.0007414852415953153,1856,0.027230226616672057,PnPMilkToMicrowaveClose,t12_15
0.003434384810698875,0.03951520100235939,3.097953544039484e-05,1856,0.0055659262877255965,PnPNovelFromCuttingboardToBasketSplitA,t00_03
0.00328300187162501,0.047030575573444366,3.154212256075643e-05,1856,0.005616237402456954,PnPNovelFromCuttingboardToBasketSplitA,t04_07
0.0031949771963150726,0.04225166141986847,3.1523705986793083e-05,1856,0.005614597580129237,PnPNovelFromCuttingboardToBasketSplitA,t08_11
0.0031425806188555474,0.03413979709148407,2.5744006493605657e-05,1856,0.005073855190444999,PnPNovelFromCuttingboardToBasketSplitA,t12_15
0.003557369426179603,0.05283038318157196,3.253089288266977e-05,1856,0.005703585966974616,PnPNovelFromCuttingboardToCardboardboxSplitA,t00_03
0.004181052593625721,0.08289045095443726,5.945984805153703e-05,1856,0.00771102120678818,PnPNovelFromCuttingboardToCardboardboxSplitA,t04_07
0.003713222482505883,0.04490948095917702,3.921786398938232e-05,1856,0.006262416785026554,PnPNovelFromCuttingboardToCardboardboxSplitA,t08_11
0.0033395944613183585,0.026250749826431274,2.7725691088107452e-05,1856,0.005265519071099017,PnPNovelFromCuttingboardToCardboardboxSplitA,t12_15
0.0034354309910699598,0.031292349100112915,3.092762812553751e-05,1856,0.005561261378998249,PnPNovelFromCuttingboardToPanSplitA,t00_03
0.0035425469404172277,0.05678544193506241,3.720958282751648e-05,1856,0.0060999658054382965,PnPNovelFromCuttingboardToPanSplitA,t04_07
0.00306271080945282,0.03025728464126587,2.3952901754854175e-05,1856,0.0048941701804140585,PnPNovelFromCuttingboardToPanSplitA,t08_11
0.003261484194683425,0.03167875111103058,2.6612494214969024e-05,1856,0.005158729903277455,PnPNovelFromCuttingboardToPanSplitA,t12_15
0.0033466819832028705,0.04742465168237686,3.307077006012773e-05,1856,0.005750719090698808,PnPNovelFromCuttingboardToPotSplitA,t00_03
0.003419712558642741,0.08338909596204758,4.313226020085445e-05,1856,0.006567515527264054,PnPNovelFromCuttingboardToPotSplitA,t04_07
0.003183536346176848,0.034540750086307526,2.9123204483806683e-05,1856,0.00539659193230382,PnPNovelFromCuttingboardToPotSplitA,t08_11
0.0031182347277629967,0.03018856793642044,2.5882234183779103e-05,1856,0.005087458519121222,PnPNovelFromCuttingboardToPotSplitA,t12_15
