mae,max_abs,mse,n_values,phase,rmse,task
0.017865244711143095,0.09303098917007446,0.000678759667195775,1856,traj_q1,0.026053016470185847,PnPBottleToCabinetClose
0.01872541885371714,0.09190432727336884,0.000702389074214256,1856,traj_q2,0.026502623911874388,PnPBottleToCabinetClose
0.022075317946065955,0.16387195885181427,0.0010044156687018632,928,traj_q3,0.03169251755070687,PnPBottleToCabinetClose
0.019279963597826324,0.11824847757816315,0.0007624878226571727,2784,traj_q4,0.02761318204512426,PnPBottleToCabinetClose
0.016225522883046482,0.09486657381057739,0.0005840759029123489,2784,traj_q1,0.02416766233859512,PnPCanToDrawerClose
0.015533745191526671,0.10374099016189575,0.0004314416074157053,2320,traj_q2,0.020771172509410858,PnPCanToDrawerClose
0.01756943482899354,0.08496922254562378,0.000550118570334794,928,traj_q3,0.023454606590919278,PnPCanToDrawerClose
0.018981012855582013,0.11080721020698547,0.0007236258405440341,1392,traj_q4,0.026900294432292634,PnPCanToDrawerClose
0.016340723721786445,0.09062202274799347,0.0005796373100979139,1856,traj_q1,0.024075658040807812,PnPCupToDrawerClose
0.01845832173080714,0.09425121545791626,0.0007128855436167855,1392,traj_q2,0.026699916547000394,PnPCupToDrawerClose
0.018248499867444604,0.08658027648925781,0.0005570786620780744,1392,traj_q3,0.023602513893186766,PnPCupToDrawerClose
0.020139124911759284,0.10279470682144165,0.0007542461485924055,2784,traj_q4,0.027463542171256888,PnPCupToDrawerClose
0.01843252179444256,0.18881848454475403,0.0007850836194673366,1856,traj_q1,0.028019343665891545,PnPMilkToMicrowaveClose
0.018070564288666054,0.09613488614559174,0.0005693298256745208,928,traj_q2,0.02386063338795768,PnPMilkToMicrowaveClose
0.017369608683243158,0.10970818996429443,0.000599908690491534,2320,traj_q3,0.024493033509378415,PnPMilkToMicrowaveClose
0.02042798003081959,0.1200244128704071,0.0008257818586765335,2320,traj_q4,0.028736420422114748,PnPMilkToMicrowaveClose
0.004101914287902814,0.047030575573444366,5.034684487854891e-05,1856,traj_q1,0.007095551062359351,PnPNovelFromCuttingboardToBasketSplitA
0.0033629654896487056,0.03477546572685242,3.127748056179498e-05,1392,traj_q2,0.00559262733979254,PnPNovelFromCuttingboardToBasketSplitA
0.002862990496709997,0.020728349685668945,2.0507813010195074e-05,1856,traj_q3,0.004528555289515087,PnPNovelFromCuttingboardToBasketSplitA
0.0028542524765161315,0.02628326416015625,2.038128173716784e-05,2320,traj_q4,0.0045145632941811596,PnPNovelFromCuttingboardToBasketSplitA
